iter	Logloss
0	0.6778283499
1	0.6642873912
2	0.6510577504
3	0.6351684898
4	0.6203906266
5	0.6053561484
6	0.5913362527
7	0.5773888476
8	0.563839405
9	0.5507421466
10	0.5377200897
11	0.5243873145
12	0.512903388
13	0.5047203657
14	0.4942404354
15	0.4836253491
16	0.4733355108
17	0.4629416429
18	0.4527777884
19	0.4422975334
20	0.4316454731
21	0.4257511422
22	0.4178410907
23	0.4102448692
24	0.4036107508
25	0.3956264123
26	0.3873821539
27	0.3793135302
28	0.3727605271
29	0.3642855752
30	0.3560175894
31	0.3479588132
32	0.3436522288
33	0.3363163297
34	0.329375432
35	0.3250818882
36	0.3188790996
37	0.3126894028
38	0.3073068123
39	0.3018086849
40	0.2972342243
41	0.2922938492
42	0.28739033
43	0.2821061181
44	0.2767532553
45	0.2721812819
46	0.2673021723
47	0.2626774776
48	0.2581449998
49	0.2542651424
50	0.2505927768
51	0.2468293052
52	0.2434765575
53	0.239119372
54	0.235490885
55	0.2322911089
56	0.228923327
57	0.2262312043
58	0.2234608976
59	0.2195314144
60	0.2169816824
61	0.2128097886
62	0.2089232679
63	0.2066105167
64	0.2047153594
65	0.2016134934
66	0.1986403274
67	0.1965335198
68	0.193642526
69	0.1908683966
70	0.1879289987
71	0.1849100943
72	0.1824538102
73	0.1803679631
74	0.1778287227
75	0.175691443
76	0.1738273006
77	0.1719334872
78	0.1699117756
79	0.1679109565
80	0.1658538945
81	0.1638008278
82	0.1618659463
83	0.1597955975
84	0.1580664734
85	0.1559678708
86	0.1540631284
87	0.1520283906
88	0.1503702725
89	0.1484361992
90	0.1466885325
91	0.1451435437
92	0.1436392749
93	0.1420594515
94	0.1406953518
95	0.1391458464
96	0.1374550473
97	0.1356968908
98	0.1345600537
99	0.1335817342
100	0.1322729578
101	0.1309085637
102	0.1295968133
103	0.1282727169
104	0.1268932764
105	0.1258892287
106	0.1249172074
107	0.123853418
108	0.1225751481
109	0.1210804346
110	0.1203082396
111	0.1189718247
112	0.1179785353
113	0.1172563551
114	0.1162408938
