iter	Passed	Remaining
227	390	1323
228	392	1321
229	394	1319
230	395	1317
231	397	1315
232	399	1313
233	400	1311
234	402	1310
235	404	1308
236	405	1306
237	407	1304
238	409	1302
239	410	1300
240	412	1298
241	413	1296
242	415	1294
243	417	1293
244	419	1291
245	420	1289
246	422	1287
247	423	1285
248	425	1283
249	427	1281
250	428	1279
251	430	1277
252	432	1276
253	433	1274
254	435	1272
255	436	1269
256	438	1268
257	440	1266
258	441	1264
259	443	1262
260	445	1261
261	447	1259
262	448	1256
263	449	1254
264	451	1252
265	453	1250
266	454	1248
267	456	1246
268	458	1245
269	459	1243
270	461	1241
271	463	1239
272	464	1237
273	466	1235
274	468	1233
275	469	1231
276	471	1230
277	473	1228
278	474	1227
279	476	1225
280	477	1223
281	479	1221
282	481	1219
283	482	1217
284	484	1216
285	486	1214
286	488	1213
287	490	1212
288	492	1210
289	493	1209
290	495	1207
291	497	1205
292	499	1204
293	500	1202
294	502	1201
295	504	1200
296	506	1198
297	508	1197
298	510	1195
299	511	1193
300	513	1192
301	515	1191
302	517	1189
303	518	1187
304	520	1186
305	522	1184
306	524	1183
307	526	1182
308	528	1181
309	529	1179
310	531	1177
311	533	1175
312	534	1173
313	536	1172
314	538	1170
315	539	1168
316	541	1167
317	543	1165
318	545	1164
319	547	1164
320	549	1162
321	551	1161
322	553	1160
323	555	1159
324	557	1158
325	559	1157
326	561	1156
327	563	1154
328	565	1153
329	567	1152
330	569	1151
331	571	1150
332	573	1149
333	575	1147
334	576	1145
335	578	1143
336	580	1141
337	582	1140
338	583	1138
339	585	1136
340	587	1134
341	588	1132
342	590	1130
343	591	1128
344	593	1126
345	595	1125
346	597	1123
347	598	1121
348	600	1120
349	602	1118
350	603	1116
351	605	1114
352	606	1112
353	608	1110
354	610	1109
355	612	1107
356	614	1106
357	615	1104
358	617	1102
359	618	1100
360	620	1098
361	622	1096
362	624	1095
363	626	1094
364	628	1092
365	629	1091
366	631	1089
367	633	1088
368	635	1086
369	637	1084
370	639	1083
371	640	1082
372	642	1080
373	644	1078
374	645	1076
375	647	1074
376	649	1072
377	650	1070
378	652	1069
379	654	1067
380	656	1065
381	657	1064
382	659	1062
383	661	1060
384	663	1059
385	664	1057
386	666	1055
387	668	1054
388	670	1052
389	672	1051
390	673	1049
391	675	1047
392	677	1046
393	679	1045
394	681	1043
395	682	1041
396	684	1039
397	685	1037
398	687	1035
399	688	1032
400	690	1030
401	691	1029
402	693	1027
403	695	1025
404	696	1023
405	698	1021
406	700	1020
407	701	1018
408	703	1016
409	705	1015
410	707	1013
411	709	1011
412	710	1010
413	712	1008
414	713	1006
415	715	1004
416	716	1002
417	718	1000
418	720	998
419	722	997
420	723	995
421	725	993
422	727	992
423	728	990
424	730	988
425	732	986
426	734	985
427	735	983
428	737	981
429	738	979
430	740	977
431	742	975
432	743	974
433	745	972
434	747	970
435	749	969
436	751	967
437	752	965
438	754	964
439	756	962
440	757	960
441	759	958
442	761	956
443	762	955
444	764	953
445	766	951
446	767	950
447	769	948
448	771	946
449	772	944
450	774	942
451	776	941
452	778	939
453	779	937
454	781	935
455	783	934
456	784	932
457	786	930
458	787	928
459	789	926
460	791	925
461	793	923
462	794	921
463	796	919
464	798	918
465	799	916
466	800	913
467	802	911
468	804	910
469	805	908
470	807	906
471	809	905
472	810	903
473	812	901
474	813	899
475	815	897
476	817	896
477	819	894
478	820	892
479	822	891
480	824	890
481	826	888
482	828	886
483	830	885
484	833	884
485	834	882
486	836	881
487	838	879
488	840	877
489	841	876
490	843	874
491	845	872
492	847	871
493	849	869
494	850	867
495	852	866
496	853	864
497	855	862
498	857	860
499	859	859
500	860	857
501	862	855
502	864	853
503	865	852
504	867	850
505	869	848
506	871	847
507	872	845
508	874	843
509	876	841
510	877	840
511	879	838
512	880	836
513	882	834
514	884	832
515	886	831
516	887	829
517	889	827
518	890	825
519	892	823
520	894	822
521	895	820
522	897	818
523	899	816
524	900	814
525	902	813
526	904	811
527	905	809
528	907	807
529	908	806
530	910	804
531	912	802
532	914	800
533	915	799
534	917	797
535	918	795
536	920	793
537	922	791
538	923	790
539	925	788
540	927	786
541	928	784
542	930	783
543	932	781
544	933	779
545	935	777
546	936	775
547	938	774
548	940	772
549	942	770
550	943	769
551	945	767
552	947	765
553	948	763
554	949	761
555	951	759
556	953	758
557	954	756
558	956	754
559	958	752
560	959	751
561	961	749
562	963	747
563	964	745
564	966	744
565	968	742
566	970	740
567	971	739
568	973	737
569	974	735
570	976	733
571	978	731
572	979	730
573	981	728
574	983	726
575	985	725
576	986	723
577	988	721
578	990	720
579	992	718
580	993	716
581	995	715
582	997	713
583	999	711
584	1000	709
585	1002	708
586	1003	706
587	1005	704
588	1007	703
589	1009	701
590	1012	700
591	1013	698
592	1015	697
593	1017	695
594	1019	693
595	1021	692
596	1022	690
597	1024	688
598	1026	686
599	1027	685
600	1029	683
601	1030	681
602	1032	679
603	1034	677
604	1035	676
605	1037	674
606	1039	672
607	1040	671
608	1042	669
609	1043	667
610	1045	665
611	1047	663
612	1048	662
613	1050	660
614	1052	658
615	1054	657
616	1055	655
617	1057	653
618	1059	651
619	1060	650
620	1062	648
621	1064	646
622	1065	644
623	1067	643
624	1069	641
625	1070	639
626	1072	637
627	1073	635
628	1075	634
629	1076	632
630	1078	630
631	1080	629
632	1082	627
633	1083	625
634	1085	623
635	1087	622
636	1088	620
637	1090	618
638	1091	616
639	1093	615
640	1095	613
641	1097	611
642	1099	610
643	1100	608
644	1102	606
645	1103	604
646	1105	603
647	1106	601
648	1108	599
649	1109	597
650	1111	595
651	1113	594
652	1114	592
653	1116	590
654	1118	588
655	1119	587
656	1121	585
657	1123	583
658	1124	582
659	1126	580
660	1128	578
661	1129	576
662	1131	574
663	1132	573
664	1134	571
665	1136	569
666	1137	568
667	1139	566
668	1141	564
669	1142	562
670	1144	561
671	1145	559
672	1147	557
673	1149	555
674	1150	554
675	1152	552
676	1154	550
677	1155	548
678	1157	547
679	1159	545
680	1161	543
681	1163	542
682	1165	540
683	1166	539
684	1168	537
685	1170	535
686	1171	533
687	1173	532
688	1175	530
689	1177	528
690	1179	527
691	1181	525
692	1182	524
693	1184	522
694	1186	520
695	1188	519
696	1190	517
697	1191	515
698	1193	514
699	1195	512
700	1196	510
701	1198	508
702	1200	507
703	1201	505
704	1203	503
705	1205	501
706	1207	500
707	1208	498
708	1210	496
709	1211	494
710	1213	493
711	1214	491
712	1216	489
713	1218	487
714	1219	486
715	1221	484
716	1223	482
717	1225	481
718	1226	479
719	1228	477
720	1229	475
721	1231	474
722	1233	472
723	1235	470
724	1236	469
725	1238	467
726	1239	465
727	1241	463
728	1243	462
729	1244	460
730	1246	458
731	1248	456
732	1250	455
733	1251	453
734	1253	451
735	1255	450
736	1256	448
737	1258	446
738	1259	444
739	1261	443
740	1263	441
741	1265	439
742	1266	438
743	1268	436
744	1269	434
745	1271	432
746	1272	431
747	1274	429
748	1276	427
749	1278	426
750	1279	424
751	1281	422
752	1283	420
753	1284	419
754	1286	417
755	1287	415
756	1289	413
757	1291	412
758	1293	410
759	1294	408
760	1296	407
761	1297	405
762	1299	403
763	1301	401
764	1302	400
765	1304	398
766	1306	396
767	1307	395
768	1309	393
769	1311	391
770	1312	389
771	1314	388
772	1316	386
773	1317	384
774	1319	383
775	1321	381
776	1323	379
777	1325	378
778	1327	376
779	1329	375
780	1331	373
781	1333	371
782	1335	370
783	1337	368
784	1338	366
785	1340	365
786	1342	363
787	1344	361
788	1346	360
789	1348	358
790	1349	356
791	1351	354
792	1353	353
793	1355	351
794	1356	349
795	1359	348
796	1361	346
797	1363	345
798	1364	343
799	1366	341
800	1367	339
801	1369	338
802	1371	336
803	1372	334
804	1374	332
805	1376	331
806	1378	329
807	1379	327
808	1381	326
809	1382	324
810	1384	322
811	1386	320
812	1387	319
813	1389	317
814	1391	315
815	1393	314
816	1395	312
817	1396	310
818	1398	309
819	1400	307
820	1401	305
821	1403	303
822	1405	302
823	1406	300
824	1408	298
825	1410	297
826	1411	295
827	1413	293
828	1415	291
829	1418	290
830	1420	288
831	1423	287
832	1424	285
833	1427	284
834	1430	282
835	1433	281
836	1436	279
837	1438	278
838	1441	276
839	1444	275
840	1446	273
841	1448	271
842	1451	270
843	1453	268
844	1456	267
845	1458	265
846	1460	263
847	1462	262
848	1464	260
849	1465	258
850	1467	256
851	1469	255
852	1471	253
853	1472	251
854	1474	250
855	1476	248
856	1477	246
857	1479	244
858	1480	243
859	1483	241
860	1484	239
861	1486	238
862	1488	236
863	1490	234
864	1492	232
865	1494	231
866	1496	229
867	1498	227
868	1499	226
869	1501	224
870	1503	222
871	1504	220
872	1506	219
873	1508	217
874	1511	215
875	1513	214
876	1515	212
877	1516	210
878	1518	209
879	1520	207
880	1521	205
881	1524	203
882	1526	202
883	1527	200
884	1529	198
885	1531	196
886	1532	195
887	1534	193
888	1535	191
889	1537	190
890	1539	188
891	1541	186
892	1543	184
893	1544	183
894	1546	181
895	1548	179
896	1549	177
897	1551	176
898	1553	174
899	1555	172
900	1557	171
901	1558	169
902	1560	167
903	1562	165
904	1563	164
905	1565	162
906	1567	160
907	1569	158
908	1570	157
909	1572	155
910	1573	153
911	1575	152
912	1577	150
913	1578	148
914	1580	146
915	1582	145
916	1583	143
917	1585	141
918	1587	139
919	1588	138
920	1590	136
921	1592	134
922	1593	132
923	1595	131
924	1597	129
925	1598	127
926	1600	126
927	1602	124
928	1603	122
929	1605	120
930	1607	119
931	1609	117
932	1610	115
933	1612	113
934	1614	112
935	1615	110
936	1617	108
937	1618	106
938	1620	105
939	1622	103
940	1624	101
941	1625	100
942	1627	98
943	1628	96
944	1630	94
945	1632	93
946	1633	91
947	1635	89
948	1637	88
949	1638	86
950	1640	84
951	1641	82
952	1643	81
953	1645	79
954	1646	77
955	1648	75
956	1650	74
957	1651	72
958	1653	70
959	1655	68
960	1657	67
961	1658	65
962	1660	63
963	1662	62
964	1664	60
965	1666	58
966	1667	56
967	1669	55
968	1671	53
969	1673	51
970	1674	50
971	1676	48
972	1678	46
973	1680	44
974	1681	43
975	1683	41
976	1685	39
977	1687	37
978	1689	36
979	1691	34
980	1692	32
981	1695	31
982	1696	29
983	1698	27
984	1699	25
985	1701	24
986	1703	22
987	1705	20
988	1706	18
989	1708	17
990	1710	15
991	1711	13
992	1713	12
993	1715	10
994	1717	8
995	1719	6
996	1721	5
997	1722	3
998	1724	1
999	1725	0
